# dx	btf_highOrderFit_l2	btf_cubicFit_l2		uniform_highOrderFit_l2	uniform_cubicFit_l2
2000	0.4754813869488173	0.46527363090717144	0.10266058754063224	0.04398328915311515
1250	0.31239300989130453	0.2925304620859992	0.021726559642065824	0.016039149200306236
1000	0.2317187472628165	0.21536768799536155	0.009517246419682514	0.010979275579659638
667	0.10459418428623803	0.09372586875182834	0.002027700904224447	0.0053946961587359905	
500	NaN			0.041863027747938625	NaN			0.0031625324974451706
333	NaN			0.012162726071742907

