# dx	btf_highOrderFit_l2	btf_cubicFit_l2		uniform_highOrderFit_l2	uniform_cubicFit_l2
2000	0.34691700115146396	0.33454459142874415	0.0432629819321014	0.02386521611340113
1250	0.18451491300713566	0.1671780435246803	0.014081153434429327	0.01046071606560035
1000	0.11735951280165108	0.10706757889028892	0.00868254868595523	0.0071031125614863695
667	0.043473708990008506	0.0410350022736154	0.003751277311679559	0.0035045960711400028
500	NaN			0.021543741302988213	NaN			0.0021203205908588672
